# Measured spectrum of Vega from The Astronomical Journal, 127:3508-3515, 2004 June by R. C. Bohlin and R. L. Gilliland
# Wavelength [A],Flux [erg cm^-2 A^-1 s^-1]
1.412900000000000091e+03,6.012103300000000174e-09
1.414099999999999909e+03,6.081174200000000099e-09
1.415299999999999955e+03,6.000636000000000039e-09
1.416400000000000091e+03,6.286634999999999767e-09
1.417599999999999909e+03,6.247111000000000266e-09
1.418799999999999955e+03,6.237330000000000008e-09
1.420000000000000000e+03,6.257283999999999751e-09
1.421200000000000045e+03,6.216723599999999921e-09
1.422299999999999955e+03,6.241893699999999774e-09
1.423500000000000000e+03,6.346353999999999734e-09
1.424700000000000045e+03,6.412236499999999894e-09
1.425900000000000091e+03,6.421086300000000270e-09
1.427099999999999909e+03,6.441098999999999700e-09
1.428200000000000045e+03,6.185171499999999707e-09
1.429400000000000091e+03,5.906976700000000402e-09
1.430599999999999909e+03,5.738284999999999691e-09
1.431799999999999955e+03,5.508428399999999668e-09
1.433000000000000000e+03,5.653811600000000035e-09
1.434099999999999909e+03,5.970405500000000078e-09
1.435299999999999955e+03,5.874329000000000012e-09
1.436500000000000000e+03,6.108702399999999740e-09
1.437700000000000045e+03,6.369764999999999665e-09
1.438900000000000091e+03,6.169336600000000279e-09
1.440000000000000000e+03,6.368960000000000307e-09
1.441200000000000045e+03,6.485998000000000333e-09
1.442400000000000091e+03,6.361445999999999748e-09
1.443599999999999909e+03,6.415818000000000064e-09
1.444799999999999955e+03,6.572109500000000217e-09
1.445900000000000091e+03,6.730637000000000112e-09
1.447099999999999909e+03,6.907939999999999619e-09
1.448299999999999955e+03,6.880195999999999843e-09
1.449500000000000000e+03,6.955090299999999908e-09
1.450700000000000045e+03,6.943407999999999894e-09
1.451799999999999955e+03,6.960535700000000320e-09
1.453000000000000000e+03,6.963772999999999957e-09
1.454200000000000045e+03,6.931693000000000209e-09
1.455400000000000091e+03,6.925074699999999795e-09
1.456599999999999909e+03,6.921380400000000064e-09
1.457700000000000045e+03,6.920672500000000226e-09
1.458900000000000091e+03,6.712039400000000135e-09
1.460099999999999909e+03,6.650725300000000412e-09
1.461299999999999955e+03,6.851244999999999950e-09
1.462500000000000000e+03,6.653841000000000163e-09
1.463599999999999909e+03,6.359818999999999749e-09
1.464799999999999955e+03,6.219842399999999834e-09
1.466000000000000000e+03,6.411198199999999786e-09
1.467200000000000045e+03,6.410348700000000305e-09
1.468400000000000091e+03,6.214469400000000167e-09
1.469500000000000000e+03,6.215074999999999654e-09
1.470700000000000045e+03,6.175103499999999778e-09
1.471900000000000091e+03,5.963782399999999789e-09
